Country ,Latitude ,Longitude,Water 
Denmark,56.26392,9.501785,96.73
Finland,61.92411,25.748151,99.64
New Zealand,-40.900557,174.885971,100
Norway,60.472024,8.468946,98.64
Singapore,1.352083,103.819836,100
Sweden,60.128161,18.643501,99.75
Switzerland,46.818188,8.227512,94.25
Netherlands,52.132633,5.291266,99.97
Luxembourg,49.815273,6.129583,99.46
Germany,51.165691,10.451526,99.99
United Kingdom,55.378051,-3.435973,99.82
Hong Kong,22.396428,114.109497,100
Austria,47.516231,14.550072,98.9
Canada,56.130366,-106.346771,99.04
Estonia,58.595272,25.013607,95.76
Iceland,64.963051,-19.020835,100
Ireland,53.41291,-8.24389,97.33
Australia,-25.274398,133.775136,100
Belgium,50.503887,4.469936,99.91
Japan,36.204824,138.252924,98.57
Uruguay,-32.522779,-55.765835,100
France,46.227638,2.213749,99.25
Seychelles,-4.679574,55.491977,87
United Arab Emirates,23.424076,53.847818,100
Bhutan,27.514162,90.433601,81
Chile,-35.675147,-71.542969,98.77
United States of America,37.09024,-95.712891,97.33
Qatar,25.354826,51.183884,96.18
South Korea,35.907757,127.766922,99.19
Portugal,39.399872,-8.224454,95.35
Spain,40.463667,-3.74922,99.59
Uganda,1.373333,32.290275,16.65
Madagascar,-18.766947,46.869107,20.54
Nigeria,9.081999,8.675277,21.67
Guinea Bissau,11.803749,-15.180413,24.33
Chad,15.454166,18.732207,5.59
Democratic Republic of the Congo,-4.038333,21.758664,18.99
Afghanistan,33.93911,67.709953,27.59
